Open,High,Low,Close,Volume,Dividends,Stock Splits
143.55,143.82,143.22,143.75,1329060,0.0,0.0
143.73,143.73,143.24,143.28,212610,0.0,0.0
143.26,143.33,143.13,143.29,218827,0.0,0.0
143.27,143.58,143.22,143.51,199527,0.0,0.0
143.52,143.72,143.32,143.35,228031,0.0,0.0
143.35,143.86,143.32,143.81,202089,0.0,0.0
143.82,144.4,143.81,144.39,330709,0.0,0.0
144.4,144.56,144.35,144.5,241462,0.0,0.0
144.5,144.95,144.5,144.91,312870,0.0,0.0
144.9,145.06,144.76,144.86,336273,0.0,0.0
144.87,144.9,144.58,144.67,159338,0.0,0.0
144.69,144.85,144.56,144.83,115690,0.0,0.0
144.84,145.22,144.72,145.22,218597,0.0,0.0
145.22,145.59,145.09,145.58,327594,0.0,0.0
145.57,145.99,145.52,145.88,347733,0.0,0.0
145.88,145.96,145.42,145.43,264439,0.0,0.0
145.4,145.53,145.26,145.36,162512,0.0,0.0
145.35,145.73,145.34,145.59,190585,0.0,0.0
145.6,145.67,145.31,145.64,129827,0.0,0.0
145.62,145.82,145.48,145.82,135980,0.0,0.0
145.84,146.01,145.78,145.99,214416,0.0,0.0
146.0,146.01,145.53,145.57,152051,0.0,0.0
145.58,145.88,145.56,145.79,107596,0.0,0.0
145.8,145.96,145.66,145.94,115406,0.0,0.0
145.93,145.94,145.61,145.69,143687,0.0,0.0
145.68,145.96,145.65,145.96,112268,0.0,0.0
145.96,145.99,145.84,145.86,154124,0.0,0.0
145.85,145.87,145.65,145.74,161060,0.0,0.0
145.75,145.83,145.7,145.75,101292,0.0,0.0
145.75,145.85,145.71,145.82,59349,0.0,0.0
145.8,146.09,145.7,145.96,563981,0.0,0.0
145.96,146.18,145.9,146.1,211472,0.0,0.0
146.09,146.44,146.05,146.38,213154,0.0,0.0
146.38,146.44,146.23,146.36,139800,0.0,0.0
146.35,146.58,146.32,146.51,223824,0.0,0.0
146.53,146.6,146.34,146.48,165218,0.0,0.0
146.47,146.63,146.42,146.59,171852,0.0,0.0
146.59,146.83,146.52,146.8,186728,0.0,0.0
146.82,146.93,146.77,146.89,171780,0.0,0.0
146.9,147.0,146.79,146.95,172501,0.0,0.0
146.93,147.1,146.89,147.05,336489,0.0,0.0
147.06,147.25,147.04,147.09,281039,0.0,0.0
147.07,147.12,146.84,147.05,219461,0.0,0.0
147.05,147.21,146.94,146.94,199081,0.0,0.0
146.93,147.43,146.93,147.41,357480,0.0,0.0
147.41,147.5,147.34,147.4,383329,0.0,0.0
147.39,147.63,147.35,147.49,280863,0.0,0.0
147.49,147.59,147.46,147.51,186856,0.0,0.0
147.49,147.57,147.46,147.54,202200,0.0,0.0
147.53,147.7,147.53,147.68,120848,0.0,0.0
147.66,147.76,147.61,147.64,213202,0.0,0.0
147.64,147.74,147.49,147.69,202519,0.0,0.0
147.68,147.89,147.67,147.71,199705,0.0,0.0
147.69,147.75,147.36,147.5,249759,0.0,0.0
147.49,147.62,147.47,147.51,193408,0.0,0.0
147.5,147.51,147.16,147.19,300590,0.0,0.0
147.19,147.28,147.05,147.11,192739,0.0,0.0
147.1,147.32,147.02,147.26,215702,0.0,0.0
147.29,147.39,147.22,147.34,124043,0.0,0.0
147.34,147.37,147.24,147.27,137052,0.0,0.0
147.27,147.46,147.15,147.45,143673,0.0,0.0
147.44,147.64,147.41,147.61,197843,0.0,0.0
147.62,147.62,147.41,147.49,96259,0.0,0.0
147.49,147.8,147.47,147.77,180399,0.0,0.0
147.77,147.79,147.62,147.72,136469,0.0,0.0
147.72,147.89,147.68,147.88,175686,0.0,0.0
147.88,147.94,147.82,147.9,177622,0.0,0.0
147.9,147.95,147.77,147.93,125252,0.0,0.0
147.94,148.29,147.92,148.17,562031,0.0,0.0
148.16,148.3,148.1,148.3,202773,0.0,0.0
148.31,148.49,148.25,148.39,345749,0.0,0.0
148.38,148.48,148.3,148.37,272491,0.0,0.0
148.37,148.52,148.32,148.43,303709,0.0,0.0
148.44,148.57,148.38,148.49,206120,0.0,0.0
148.47,148.51,148.3,148.33,189117,0.0,0.0
